,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15
0,6.071506211333365,-36.1787914117241,-41.60475971370766,-50.208018195772944,-71.24912454948762,-135.70863262339037,-198.1923742504352,-125.54881556162549,-59.61817423906123,-5.0484347049605836,-152.33399216712448,-86.06464890649285,26.90254132929435,11.603573960330834,-77.6586941723078
1,7.314125408692903,-36.424903098897964,-44.378252933203285,-53.83935250701113,-66.07094716640414,-136.06513926268204,-198.48372720987265,-125.2505176054635,-57.20521228353218,-4.394761919429849,-152.2352935772182,-88.0040653539344,26.67707070722374,11.601457910854744,-78.06527542159753
2,5.37172624248484,-34.97748273293031,-39.91134707629605,-49.51637082485788,-71.1644584386545,-134.89498398758624,-198.5226608866635,-125.73029206798932,-60.10624599619444,-5.967157132535403,-149.88288088732327,-83.76686695108896,25.52476525863403,11.450817045218711,-79.39215671572525
3,6.067170665836874,-34.47126160136601,-40.40006955812838,-49.36435076779734,-71.16711384865268,-139.8649497647093,-199.80985269647806,-126.19423691301421,-58.03952286422589,-5.094460215717355,-153.03323271773547,-87.96964729669031,28.043320866236503,11.369058235702893,-79.86016006357404
4,6.351509347843327,-36.31012566094425,-42.117492455552785,-50.253233020429036,-66.16274283623511,-128.61923360578908,-191.3182259593313,-121.18104269499085,-56.75694853856067,-4.978996434869741,-145.74753670992715,-82.34793779237783,23.86700162265634,10.987212906286052,-75.37101068552597
5,5.830202780278474,-35.64720287473104,-41.31165914002385,-48.87666779491249,-65.83022732236132,-130.5393198395765,-191.66671144579902,-120.70635839565713,-55.34954139546205,-5.613884596309622,-145.7882601747818,-84.21940666935322,23.62557121133125,11.308741327181234,-74.93491703920583
6,7.503807115166777,-32.609986066778255,-35.50728338676904,-44.3799476208435,-63.308768325757676,-128.96055819336544,-185.3382072739934,-116.12393052921215,-52.00312030809721,-5.772515475330098,-141.11127359518474,-80.37369667031255,24.554723267489532,11.998982914406964,-71.50934219572672
7,6.708546047617981,-33.86911785616822,-40.10453594770119,-49.750440279484394,-69.68305638573918,-126.2183683073064,-187.50644878494265,-117.38912179107722,-53.21265961462305,-5.181093195810062,-142.463579621397,-81.33875637532765,24.736010988626035,12.200226121701377,-72.93148113544726
8,5.686361242470047,-38.412819194317095,-45.7441995910751,-55.831350832187574,-77.56238746562583,-145.6339109716922,-214.64650877723568,-134.006377688611,-64.84648374932591,-7.722776459263689,-163.36067769189702,-90.37989950221254,28.707372123751426,12.620272041689882,-83.28902467559126
9,5.234729689777231,-38.219374128231756,-44.172236631723884,-53.36746449488073,-75.81324820620023,-144.86392347905178,-212.67892744479246,-133.09310328142368,-63.81922758736476,-7.091967662477444,-162.62389080648447,-90.62619559444299,29.56489806482166,12.138078642052339,-83.29029103132466
10,4.900615648578099,-38.2898859467069,-47.84036362402307,-57.53439749298861,-79.30965528325976,-151.2769952507862,-220.67790822964633,-139.56316706145336,-65.80286134850026,-5.508686016499459,-168.24793131154482,-97.10009824515974,27.954396548500675,10.974058949535069,-87.74352483923117
11,5.79270095482712,-37.89005336005093,-45.85525859187089,-55.66213670522359,-71.98488385430954,-151.40198415467057,-219.25051841127328,-138.57134518861218,-66.3561809145606,-6.16803568792612,-167.306788308651,-95.1092172801521,27.389346330673085,10.993218696458666,-87.95016902957333
12,3.1262709538235476,-46.34859170838206,-54.01759605652371,-63.26063382856285,-85.96186388365753,-168.04734262790558,-248.21963976345464,-157.70654073171116,-77.39849291798514,-6.747237180285187,-190.5452263434418,-106.74241386094076,32.56775358528778,14.126579522559823,-98.05110546220155
13,3.519965786272981,-45.120114607042,-55.15292126466712,-64.02077536964576,-87.75301540253669,-168.5275519908319,-245.43763755359726,-155.43584861988157,-73.77373910833022,-5.5027035989118005,-189.89203139880004,-109.29776745084811,34.30043809184184,13.795885521023354,-96.75052556961889
14,6.574165890000038,-33.31381244727081,-38.837139249015536,-47.18278999844155,-66.0806605060126,-130.9759604390624,-187.2378874495999,-118.77806597769433,-55.01864366942946,-4.541309263398169,-142.3478204186858,-84.50895767457409,25.009528741673567,10.5111638050896,-71.64788360054148
15,7.2407024346543905,-33.58195297134584,-38.96403790550709,-48.54087598020952,-60.67483237195653,-126.3662977053292,-183.39176040600265,-119.84857902988159,-56.63986554075327,-3.9029790693461575,-140.50034694862964,-79.15012207829879,25.16298997033061,11.672872525283346,-72.88845761332442
16,5.579648801587828,-40.34859930691649,-46.38804635776521,-56.38649159357165,-76.88065461455052,-146.95775893541676,-214.76342953077224,-139.68423283939927,-64.83753856911024,-4.047787100378636,-165.3563004559932,-92.19105477796276,29.177695896021078,14.83170457514375,-84.20606914563461
17,5.4381880888088565,-40.512518086072234,-46.84259113881896,-56.42994082060124,-74.86052193327023,-147.02923405457048,-214.5645039269103,-139.67648902182728,-65.58606505818283,-4.197568704728153,-165.0442945360962,-91.93575523331914,29.016631551366366,14.652191199391714,-84.09038300757665
18,6.40962625422856,-37.22571001075764,-42.18122187386182,-49.637827417373636,-67.3376540978912,-129.79225486080986,-189.40071004859715,-124.20426380747693,-57.47319561282706,-4.3748478367082875,-144.07101147492097,-80.84183336954645,26.080875157195038,10.984731853959891,-75.75339851488089
19,6.137455663599401,-35.20091732256867,-37.09587665518157,-44.729156426956635,-67.98549483658232,-130.88654518851644,-187.55563116949034,-122.82283789196133,-56.59843858062279,-4.532831632114027,-142.7645541869043,-79.70869933523295,25.857765331870514,10.670319320532329,-74.43295111916692
20,6.357326670432006,-39.70827286458225,-47.644380268523534,-55.85548948531771,-75.45461256950179,-149.90909912169295,-216.47902323235226,-136.60274014024475,-62.80021175048771,-5.85115788464724,-167.13315858264784,-97.77329924774881,30.765094206617068,12.262092705208365,-85.88095515979542
21,5.44639418933811,-40.37390846361377,-46.15456407323816,-55.30398374896125,-71.99674112465433,-147.70294166404696,-218.01552912892976,-137.81066191936003,-66.78011581774656,-7.3714633521776864,-164.6502917151703,-93.65866071832458,26.98214416248466,11.8428194511291,-86.04692926535684
22,8.673680439280025,-32.64858113867513,-35.612165752484174,-46.23944321340657,-63.31839703010811,-129.88591964733018,-187.10656760640683,-116.75374904489144,-50.862305137439705,-5.352209932163885,-140.27055029342833,-80.72564595570293,25.12895875204146,9.598281077450933,-74.19459912200615
23,7.970379919560605,-34.54450302467106,-39.99507609546665,-49.38724255850221,-66.04071911160563,-125.67868570464299,-185.0005049100005,-115.50023196586602,-53.25974380951149,-5.2867500477794875,-140.00042273148253,-80.49916664367927,25.782464775081728,9.646760636492544,-71.02371853364049
24,4.715791779417597,-39.089817879733225,-45.774445846378285,-56.56005364739352,-78.6540833477542,-154.2208668836772,-226.34066096050458,-143.0027490616657,-66.93582088228382,-6.0680038670481355,-170.14039785350306,-98.29245448249814,24.686620260798104,10.035522957499195,-88.2063873524453
25,5.305467810590138,-40.95656250937368,-50.70089866855751,-59.5701528552861,-78.37737895778993,-148.7051310404605,-221.78240579417488,-141.1509455411109,-67.33932728407731,-5.746316985380076,-172.63388278254268,-97.8603551239234,28.83469793128718,12.269233965830587,-88.06264121584881
26,6.152279063305158,-40.441645277992606,-48.356916037553106,-59.579490017761586,-72.862534311205,-156.46057693347564,-227.035779230133,-143.56954654547195,-67.53241293790022,-6.82690153111806,-173.3004117838952,-100.01240641082393,30.070286887335957,12.015864208530814,-89.29288512535587
