,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15
0,6.873192625427664,-36.0969255382397,-44.53707817405082,-54.46367619077295,-68.80958582745858,-137.5774640051056,-200.48074145836625,-126.52371856091078,-58.211824371922106,-5.0161529920448515,-151.99321892187282,-87.55490017724728,25.39584039983372,11.597973516402025,-78.29784843207176
1,6.296200991188289,-36.819818661175134,-40.73267134198421,-50.25224871123828,-64.39299046063938,-136.84427553518654,-200.5527725181577,-127.13502057847674,-58.74181410637158,-4.962448438395697,-151.6185255903261,-86.87876351107492,24.95253096113088,11.05933590143388,-78.88174015930035
2,6.209158664892577,-35.33713676689344,-42.53000379127763,-52.133070512169425,-69.9899722865426,-136.77552296966064,-198.87389140369973,-125.95761126415124,-57.34965736766241,-4.412080846271472,-152.15686149519178,-87.20215029084918,26.110030174355188,11.123909194706227,-79.1192049467337
3,6.546486599515763,-37.00895653786041,-43.54117965073783,-52.519736823435714,-66.99587022879037,-136.18439147504932,-199.98143526131565,-126.85500079040241,-59.83671291309149,-4.909316067240191,-153.7182454033466,-86.5825792844672,26.51830487774133,11.003879122200145,-80.66913377915512
4,6.264443262143532,-34.6301507358317,-42.575430347877365,-51.306808234913376,-68.57552599525377,-133.65027285415292,-193.32046981398176,-122.12833664127088,-57.50939783395157,-4.83030366059964,-148.64735268711792,-85.1179149829669,27.0384662903264,11.095125132876879,-76.02288826639177
5,6.386393359325279,-35.421194253860214,-42.145691634331556,-51.52784876354652,-66.6040777642322,-134.7903428641817,-195.85780456480387,-124.3319466884114,-58.65541877615337,-6.061097736251249,-150.0543357979109,-85.25609242459886,26.272208664827403,10.721308994013366,-76.83315832333648
6,5.794039005746121,-38.422639774684235,-45.459573798080385,-56.51621208667482,-73.40776539448119,-146.48184197765931,-214.91989153079254,-135.93796798430634,-63.485916442882356,-6.0547158869550275,-163.00911322556183,-93.61007920153556,27.80520743512787,10.812795066370938,-85.25924499771104
7,6.482319374580243,-38.949254604740226,-47.96992573513145,-59.42361656308627,-70.8839331649877,-144.9648740680612,-214.46042612200452,-135.4327159783245,-63.06814618805281,-5.892662994621162,-163.65033643713784,-93.70936400615949,28.222146350824403,11.596515577910823,-84.7753664486787
8,7.851064173776034,-33.50913604017191,-39.88823547474576,-49.541828650555445,-58.724018730044094,-118.17289018801597,-176.3217958319511,-111.3700428315775,-50.80410797471604,-3.6726201911617045,-135.71589370650526,-76.5336172598478,23.053158706767558,8.70037769956022,-70.43186448163313
9,8.070255740146631,-31.251825759779628,-38.0650365509255,-47.43884068161874,-64.59445759907472,-118.81447318380305,-174.22695317876767,-109.71307989098433,-50.5825451590882,-4.2449120085847305,-136.83529583115188,-74.71498637281367,24.945336114831527,10.059505791773367,-69.07067019051031
10,5.952732323836643,-36.847841840323674,-43.68000609201111,-53.24413550747655,-71.26648643287511,-140.54404497134922,-206.40549801255116,-129.82529766391875,-60.95162467606169,-5.867250589304817,-159.21657557714704,-90.90300214124406,27.17378676703735,12.4717524468596,-80.68482660783866
11,6.117800817582391,-36.57734373811737,-43.91639614593072,-53.058955492369776,-73.7544890111964,-140.72452752915189,-205.82717018324638,-129.74776002782127,-61.263612339377865,-6.552076326465839,-158.51119769572995,-89.58879535008691,26.917749588511256,13.033649679173724,-80.0792299026344
12,6.195522382189606,-37.046162050800085,-42.53010408240363,-50.00965965839653,-66.95906401559165,-132.73187799010464,-193.7828633635528,-123.07098110035248,-57.9575418745943,-6.546466873051771,-148.28808282321663,-84.20771003740366,24.609655796346807,12.036503440927834,-75.95511471863799
13,6.375380889760593,-37.979264424335135,-45.59970520291595,-53.95685625614707,-64.57932228195466,-129.84569593433378,-193.42139736683322,-122.36276355801343,-57.00741440231109,-5.727982648311221,-147.9112365290933,-85.34064934943666,24.185344941434685,11.882501333575716,-75.12273567566145
14,5.313232328949597,-35.80531779286888,-41.416618553642444,-49.74488574296588,-74.28309404476062,-135.43529130620811,-198.74531322908558,-125.92162371688069,-58.14514846285897,-6.45420223306785,-150.65869686521046,-86.75555034797553,25.30570800684728,12.228471312592912,-78.03214353023863
15,6.066072471196467,-36.205282967223575,-40.67962176370096,-49.6315438787376,-69.90077374356339,-136.79692533182993,-199.16057426797522,-128.58790082974767,-60.30515288636267,-4.282058297923431,-150.50991127970565,-84.43010462943397,25.457604131321986,12.705195262945306,-77.05796828912167
16,5.710385286445545,-40.55955368986345,-47.294569985548094,-55.292520655766616,-73.63293134750414,-146.95933501053037,-211.9761059483485,-136.66035959463812,-61.16106204494245,-2.8324364016984056,-161.22604071272423,-94.47467226648266,29.566555497524877,11.832597229074702,-83.94276101383625
17,6.28459682826984,-40.62907377597629,-50.04652982582774,-58.77958734209992,-74.53753649720595,-144.6081467821426,-210.91934593512934,-135.44509486971222,-62.6239923943231,-3.4416970428863833,-160.90421467873986,-92.71285985789642,29.10483661161689,12.505338182082127,-82.64187969114022
18,8.117525668728414,-32.814986471376045,-34.88973588969287,-42.02177734189981,-59.49222720566373,-113.20291116192669,-166.45450339119054,-106.86591975287142,-46.391572594836745,-1.61260553773087,-125.87634728212686,-71.43784381848171,22.894968460998744,8.993667510379156,-63.96396573619114
19,8.244395933782432,-31.732927767816687,-34.738387494690265,-41.77483030179785,-63.72428119056568,-113.64900228167076,-165.24050559483555,-105.90283797772189,-46.792151700052216,-2.347459859363816,-125.35537401743488,-70.11340232740288,22.913503949092505,9.709138003491145,-61.89130483891598
20,7.468905753922235,-34.97787885321996,-39.16902000637772,-47.527701069560806,-61.66342178572365,-129.10660838062705,-186.43311548564068,-118.29917689888902,-55.04203797338812,-5.774256411731624,-144.7045462672461,-80.61722455587986,25.13186591265546,10.573350416042146,-71.7907034650097
21,7.424088072469882,-34.111760614543655,-39.00921692125201,-48.29823827158496,-66.17052465716849,-128.85546728515106,-187.2587574614454,-118.62889918528312,-54.74750534534291,-6.254160675154228,-144.81265568106474,-79.47977034091744,24.63679628289319,11.343963422550392,-71.99015952822289
22,6.4186954686798146,-33.34576134624295,-37.48007455464015,-47.233279340457436,-65.80593525864109,-126.944543057709,-186.4064786127365,-118.43186499620188,-56.821123026699624,-6.980588026108937,-142.09344418653134,-78.9137753034992,24.655492332837415,11.500588769106923,-71.92461514492527
23,8.01208612406037,-31.71958702454166,-37.63305831101886,-48.13394049422096,-63.020943019998676,-129.26823222342523,-185.39772163186808,-117.02668754858773,-52.6723678145833,-6.174402145146717,-142.17515055327678,-81.10983571540002,25.52647559437497,11.522972861354859,-72.19150841226758
24,6.1790166389459005,-36.16130910401263,-39.461796456091996,-47.47905222963939,-70.88872645107752,-137.8497533093059,-197.91617540452341,-126.55988201657239,-56.48878049512002,-6.789087030526717,-151.1584593548083,-85.64277102935168,24.88722890213918,12.509041460368703,-75.4846047142517
25,7.410876356388535,-39.04779592790137,-48.39883147261593,-56.99193943367703,-67.6177046270106,-134.4796435345508,-199.36527291253316,-126.51194173760713,-57.86223937726664,-4.775955890741156,-152.617162355918,-88.43598354729193,25.66411361658087,12.763506850985669,-77.14293433497512
26,9.809188447983075,-30.24432750701255,-35.54246344327618,-44.435088411644514,-53.26424641230371,-110.695884188268,-161.3649242967072,-101.74491924000272,-44.11038221404179,-3.516890324450739,-123.00680440488196,-71.82300154942078,22.65796619628531,10.217075635395366,-63.19159780792634
27,7.859081960438251,-31.351192364854043,-33.99489191398387,-42.30114204443924,-59.22890451627016,-108.54996963472595,-162.6774670016875,-103.13021412158135,-49.57447744625524,-4.449749699806627,-124.18504242135374,-69.2301496571871,22.304482664670434,10.286926619954448,-62.512053865470065
28,7.273228403586386,-32.609931184137224,-39.71806623720391,-49.38743571898175,-71.8780925752822,-127.38363258514599,-185.94932257730895,-117.20141601235362,-53.798473444495265,-4.56157946018763,-142.28607027551132,-81.88541489310803,26.229886501264534,11.115693249094566,-73.09500905745196
29,7.105758813250886,-35.01237524525408,-38.541022469625,-46.64083597718035,-63.12256003991786,-127.24749340911666,-186.24257055875148,-118.42043916500315,-55.965432624530145,-5.3155213358785,-141.3683012689067,-81.04823361213147,24.81301587152888,10.703060295368827,-71.68686891939657
30,8.724396221176592,-30.109492780114827,-34.702031363955136,-42.66208136485655,-57.025409856466055,-111.16890920134973,-161.96345932833455,-102.52671865961321,-45.19122278260634,-2.7726113534904933,-124.15825636363257,-72.47773893268351,22.583858658991687,9.258151418378242,-63.03160270378895
31,8.972108521203136,-30.651340006282958,-35.53642841433129,-43.654002786102446,-55.18395544558993,-110.470217650084,-161.4358350090587,-102.14930419758095,-44.131928634447895,-2.5658174299363745,-123.45311464134976,-73.02461777855841,22.15377650510619,9.28380585512519,-61.941927033129716
32,8.14749195145584,-34.326477712588485,-38.81827434041473,-45.93954376832568,-57.41377620174072,-125.04916845835278,-179.75932551217892,-113.80472557454307,-53.369918429957345,-5.217857400612659,-137.0028483979423,-79.7068052292432,25.4219141868296,10.529532813492251,-68.02980079290575
33,7.432674883531536,-33.43932502766233,-37.45715918104839,-45.15160642651465,-61.41109986816296,-121.34034019670621,-177.35057082992427,-112.570279586864,-51.305088136656664,-4.736179470670001,-133.43379765232146,-77.94901202787541,24.10454619573267,10.268686333860353,-68.01503890300891
